rank,model_id,composite_score,msIC,msIR,direction_accuracy,ic,rank_ic,ic_second_half,ic_first_half,ic_decay,ic_std,ic_positive_ratio,sharpe_ratio,sortino_ratio,total_return,annual_return,max_drawdown,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae
69,long_term_forecast_WTI-log_HP_dmodel64_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_DModel_1,0.06268728343294742,0.014402518741324605,0.04514091211110365,0.5106422878574778,-0.03810443355368482,0.00121459300585115,-0.0009624625344793955,-0.050955968829867734,-0.04999350629538834,0.3190568836065213,0.5167652859960552,-0.9894642094354078,-1.1066271954504505,-0.9999999768677246,-0.33995055920398476,0.9999999778579305,0.3579871664978048,0.7795669650834499,6239,11.856,-0.9647426235549141,-0.035257353312810435,0.0007685093811486196,0.0277220017521935,0.016585456096000938
70,long_term_forecast_WTI-log_HP_dropout0.3_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_Dropout_1,0.06268728343294742,0.014402518741324605,0.04514091211110365,0.5106422878574778,-0.03810443355368482,0.00121459300585115,-0.0009624625344793955,-0.050955968829867734,-0.04999350629538834,0.3190568836065213,0.5167652859960552,-0.9894642094354078,-1.1066271954504505,-0.9999999768677246,-0.33995055920398476,0.9999999778579305,0.3579871664978048,0.7795669650834499,6239,11.856,-0.9647426235549141,-0.035257353312810435,0.0007685093811486196,0.0277220017521935,0.016585456096000938
71,long_term_forecast_WTI-log_HP_dropout0.5_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_Dropout_2,0.059639241573478684,0.014089467158458283,0.05008161648899073,0.5075480543834974,-0.03513265390454234,-8.062176803957856e-05,0.0037140831472741664,-0.048571326065750584,-0.05228540921302475,0.2813301196369235,0.5088757396449705,-0.8711112044856207,-0.9141270920378731,-0.9999993099259689,-0.28481044388392573,0.9999993673935152,0.3325196636832113,0.7854841553325606,5404,9.141,-0.9647426235549141,-0.035256686371054724,0.0007599281649542069,0.02756679460790113,0.01648813391230986
72,long_term_forecast_WTI-log_HP_dropout0.2_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_Dropout_0,0.05631997481474339,0.007800710222481566,0.021969110320567944,0.5066104078762307,-0.013303140728344978,0.00955526867895646,0.02482486054891881,-0.0294549099177515,-0.05427977046667031,0.355076291604689,0.5226824457593688,-0.9961337231647337,-1.144862583927701,-0.9999999908214703,-0.3542107049954005,0.9999999911813692,0.3816215123331985,0.7974769645644068,6604,14.0115,-0.9647426235549141,-0.03525736726655615,0.000772273012902417,0.027789800519298746,0.016715059473807
73,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,0.05456659421659962,0.0076374104051196426,0.027874449678391353,0.5037974683544304,0.015886998560619398,0.015910487067938007,0.015140426765489285,0.015943417902156302,0.0008029911366670174,0.27399322652960806,0.4970414201183432,-0.530461867885402,-0.10509126718458857,-0.30407797102199474,-0.008529235851390538,0.44193224031226175,0.2358974358974359,0.7572600614673022,192,0.28800000000000003,-0.9647426235549141,0.6606646525329194,0.0007507051888309686,0.027398999777929277,0.01644769495881045
74,long_term_forecast_WTI-log_HP_dmodel256_PatchTST_custom_ftMS_sl512_ll48_pl5_dm256_nh4_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_HP_DModel_1,0.05419935000664566,0.010065593630582502,0.041510902428603884,0.5106422878574778,-0.01657646753198288,0.00573885607315802,0.0035168206407980387,-0.02556835944049033,-0.02908518008128837,0.24248072293525016,0.5009861932938856,-0.9135265655898868,-1.0285497285433625,-0.9999999082773803,-0.3181128227222595,0.9999999151516373,0.3789654801591569,0.8125478954879867,5786,11.154,-0.9647426235549141,-0.03525728472246614,0.0008186369127863563,0.02861183169226249,0.017358631029704318
75,long_term_forecast_WTI-log_HP_dropout0.4_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_Dropout_0,0.04682067830066374,0.00802107743810105,0.026284240696198957,0.5112986404125645,-0.014399465441623354,-0.0005038302166827071,0.014852824515008673,-0.024442740412415148,-0.03929556492742382,0.30516679293920035,0.5069033530571992,-0.9538085228541812,-1.0109795405837179,-0.999999915234538,-0.3193825753123377,0.9999999206671738,0.3423913043478261,0.7736371461206284,5653,9.972000000000001,-0.9647426235549141,-0.03525729167962388,0.0007579814100194798,0.027531462184553143,0.016498773223089028
76,long_term_forecast_WTI-log_Nonstationary_Transformer_pl5_Nonstationary_Transformer_custom_ftMS_sl512_ll48_pl5_dm128_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,0.043257984074734315,-0.020379300707967403,-0.0624624116385966,0.5367088607594936,0.03635178286278149,0.06370575868125213,0.028341834223748884,0.06341218457549777,0.03507035035174889,0.32626503161422415,0.47731755424063116,0.1588091396981028,0.1755513182233218,20.55714183541728,0.07525387218928792,0.9978921301407498,0.5165312256484471,1.0878392880890266,885,1.3290000000000002,-0.9647426235549141,21.521884458972195,0.0007514135744707382,0.027411923946901978,0.016389815225396575
77,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,0.043180111002194696,-0.0012996757663968688,-0.004047424460835278,0.5152367557430848,-0.02705270386456081,0.009011979696362226,0.046960481490273404,-0.05261452141617277,-0.09957500290644616,0.32111180306714143,0.5069033530571992,-0.6926750863799498,-0.7504180140964696,-0.9999966649388773,-0.257685221927595,0.9999997254545753,0.417102594213729,0.8747911624597529,3925,6.981000000000001,-0.9647426235549141,-0.03525404138396315,0.0007708610351700374,0.027764384293011746,0.01662888893282878
78,long_term_forecast_WTI-log_iTransformer_pl5_iTransformer_custom_ftMS_sl512_ll48_pl5_dm128_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0.04210485996774126,0.00833356952802307,0.02558426165445729,0.5100796999531176,0.0027294547944437864,0.005057271274497429,-0.005422579682087394,0.007855943603559496,0.01327852328564689,0.32573031188379814,0.5128205128205128,-0.9358564899883632,-1.0997861763652619,-0.9999999826521888,-0.3444233100673725,0.9999999846267132,0.3925549915397631,0.8127080562270785,6223,13.376999999999999,-0.9647426235549141,-0.035257359097274676,0.0007708690244677301,0.027764528169369817,0.016807303479376444
79,long_term_forecast_WTI-log_Koopa_pl5_Koopa_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0.03902254115459527,0.007430284120892617,0.03578220126826076,0.49488982653539615,-0.0071997285283783765,0.004422683417168256,0.025976785507082975,-0.022032863359425666,-0.048009648866508645,0.20765307492368748,0.5128205128205128,-0.775168294269139,-0.929581265564675,-0.9999997751056313,-0.3035082932152854,0.9999998078293061,0.4068140140913039,0.8616493681541931,5436,12.2265,-0.9647426235549141,-0.03525715155071718,0.0008019270412132352,0.028318316355553964,0.01727273501994335
80,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0.038547436885966894,-0.012003291228362979,-0.038029402289733574,0.5377402719174871,0.003095500996174634,0.026687431723523912,0.03226250508845266,-0.037367779564941764,-0.06963028465339442,0.31563186654667436,0.4891518737672584,-0.19896214282463917,-0.17396012667781427,-0.9175888736793837,-0.057272526901056,0.9999776806580009,0.5093085106382979,1.0144550284272718,974,1.467,-0.9647426235549141,0.04715374987553045,0.0007551204792155843,0.027479455584410405,0.01638703735175611
81,long_term_forecast_WTI-log_iTransformer_pl5_iTransformer_custom_ftMS_sl512_ll48_pl5_dm128_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,0.03683176040271243,0.004281882758961894,0.014379169110014337,0.5057665260196906,0.005142433006601108,0.009963486711315814,0.011655149266278137,0.0024031061062241544,-0.009252043160053982,0.29778374022875825,0.504930966469428,-0.9817850393465749,-1.1800088188433377,-0.9999999912214341,-0.3548902033415885,0.9999999913730546,0.39224223233722544,0.8034535535552961,6696,14.883000000000001,-0.9647426235549141,-0.03525736766651999,0.0007699900571593333,0.027748694692892012,0.016798540448440504
82,long_term_forecast_WTI-log_PatchTST_pl5_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,0.0358962329898582,0.0015251384174701558,0.005379383272103922,0.5133614627285513,-0.003707287818772629,0.012823536994192784,0.008531322281052953,-0.009254443683400759,-0.017785765964453713,0.28351547757883805,0.4930966469428008,-0.9379230544524265,-1.0422466412913303,-0.9999999698820375,-0.3358219994248113,0.9999999705742205,0.38200105876124935,0.8027011268274657,6057,11.7975,-0.9647426235549141,-0.03525734632712341,0.0007621239813312613,0.02760659307722091,0.01651587423992498
83,long_term_forecast_WTI-log_HP_dmodel64_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_DModel_2,0.0358962329898582,0.0015251384174701558,0.005379383272103922,0.5133614627285513,-0.003707287818772629,0.012823536994192784,0.008531322281052953,-0.009254443683400759,-0.017785765964453713,0.28351547757883805,0.4930966469428008,-0.9379230544524265,-1.0422466412913303,-0.9999999698820375,-0.3358219994248113,0.9999999705742205,0.38200105876124935,0.8027011268274657,6057,11.7975,-0.9647426235549141,-0.03525734632712341,0.0007621239813312613,0.02760659307722091,0.01651587423992498
84,long_term_forecast_WTI-log_HP_dropout0.3_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_HP_Dropout_2,0.0358962329898582,0.0015251384174701558,0.005379383272103922,0.5133614627285513,-0.003707287818772629,0.012823536994192784,0.008531322281052953,-0.009254443683400759,-0.017785765964453713,0.28351547757883805,0.4930966469428008,-0.9379230544524265,-1.0422466412913303,-0.9999999698820375,-0.3358219994248113,0.9999999705742205,0.38200105876124935,0.8027011268274657,6057,11.7975,-0.9647426235549141,-0.03525734632712341,0.0007621239813312613,0.02760659307722091,0.01651587423992498
85,long_term_forecast_WTI-log_HP_seqlen256_DLinear_custom_ftMS_sl256_ll48_pl5_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_SeqLen_1,0.0177141650627475,-0.0007937555860929098,-0.002131259879529297,0.5052977027660572,0.016349613295644144,0.005954386933012931,0.01848043983000504,0.01569025076861079,-0.0027901890613942527,0.37243491219297764,0.5108481262327417,-0.9585146576031182,-1.1220143963937768,-0.9999999919619439,-0.35623211582858205,0.9999999923565656,0.3856985918306202,0.8047991247625208,6596,14.16,-0.9647426235549141,-0.035257368407029754,0.0007671963857406478,0.027698310160380685,0.0167814002738127
86,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,0.01630403541429848,6.127311542731035e-05,0.0002254103083030709,0.5010782934833568,0.0005066197874931963,-0.0015255435453668145,0.03306464273229379,-0.019982343266717266,-0.05304698599901106,0.27182925168145733,0.52465483234714,-0.3800294293880505,-0.10861195384552537,-0.11216342536467694,-0.002807101254461153,0.2799669098878404,0.2680722891566265,0.976693601182122,332,0.5010000000000001,-0.9647426235549141,0.8525791981902372,0.0007510201485906874,0.02740474682588196,0.01644959730021554
